001  00001 |Loss: 2.450 | Train_acc: 13.281% 
001  00002 |Loss: 2.445 | Train_acc: 13.281% 
001  00003 |Loss: 2.407 | Train_acc: 12.760% 
001  00004 |Loss: 2.395 | Train_acc: 11.523% 
001  00005 |Loss: 2.396 | Train_acc: 10.938% 
001  00006 |Loss: 2.395 | Train_acc: 10.156% 
001  00007 |Loss: 2.385 | Train_acc: 9.933% 
001  00008 |Loss: 2.381 | Train_acc: 10.742% 
001  00009 |Loss: 2.381 | Train_acc: 10.764% 
001  00010 |Loss: 2.371 | Train_acc: 11.328% 
001  00011 |Loss: 2.362 | Train_acc: 11.719% 
001  00012 |Loss: 2.362 | Train_acc: 11.719% 
001  00013 |Loss: 2.359 | Train_acc: 11.719% 
001  00014 |Loss: 2.359 | Train_acc: 11.663% 
001  00015 |Loss: 2.352 | Train_acc: 11.667% 
001  00016 |Loss: 2.350 | Train_acc: 11.768% 
001  00017 |Loss: 2.349 | Train_acc: 11.627% 
001  00018 |Loss: 2.347 | Train_acc: 12.023% 
001  00019 |Loss: 2.350 | Train_acc: 12.089% 
001  00020 |Loss: 2.346 | Train_acc: 12.305% 
001  00021 |Loss: 2.341 | Train_acc: 12.686% 
001  00022 |Loss: 2.340 | Train_acc: 12.713% 
001  00023 |Loss: 2.336 | Train_acc: 12.874% 
001  00024 |Loss: 2.332 | Train_acc: 13.021% 
001  00025 |Loss: 2.328 | Train_acc: 13.031% 
001  00026 |Loss: 2.323 | Train_acc: 13.101% 
001  00027 |Loss: 2.321 | Train_acc: 13.079% 
001  00028 |Loss: 2.320 | Train_acc: 13.198% 
001  00029 |Loss: 2.321 | Train_acc: 13.200% 
001  00030 |Loss: 2.318 | Train_acc: 13.255% 
001  00031 |Loss: 2.314 | Train_acc: 13.306% 
001  00032 |Loss: 2.312 | Train_acc: 13.403% 
001  00033 |Loss: 2.310 | Train_acc: 13.281% 
001  00034 |Loss: 2.306 | Train_acc: 13.511% 
001  00035 |Loss: 2.303 | Train_acc: 13.549% 
001  00036 |Loss: 2.303 | Train_acc: 13.498% 
001  00037 |Loss: 2.302 | Train_acc: 13.514% 
001  00038 |Loss: 2.301 | Train_acc: 13.549% 
001  00039 |Loss: 2.298 | Train_acc: 13.642% 
001  00040 |Loss: 2.294 | Train_acc: 13.789% 
001  00041 |Loss: 2.293 | Train_acc: 13.815% 
001  00042 |Loss: 2.293 | Train_acc: 13.988% 
001  00043 |Loss: 2.292 | Train_acc: 14.099% 
001  00044 |Loss: 2.290 | Train_acc: 14.151% 
001  00045 |Loss: 2.292 | Train_acc: 14.219% 
001  00046 |Loss: 2.291 | Train_acc: 14.232% 
001  00047 |Loss: 2.287 | Train_acc: 14.328% 
001  00048 |Loss: 2.285 | Train_acc: 14.421% 
001  00049 |Loss: 2.283 | Train_acc: 14.445% 
001  00050 |Loss: 2.281 | Train_acc: 14.500% 
001  00051 |Loss: 2.281 | Train_acc: 14.583% 
001  00052 |Loss: 2.277 | Train_acc: 14.663% 
001  00053 |Loss: 2.275 | Train_acc: 14.770% 
001  00054 |Loss: 2.274 | Train_acc: 14.829% 
001  00055 |Loss: 2.273 | Train_acc: 15.028% 
001  00056 |Loss: 2.271 | Train_acc: 15.025% 
001  00057 |Loss: 2.269 | Train_acc: 15.063% 
001  00058 |Loss: 2.267 | Train_acc: 15.127% 
001  00059 |Loss: 2.268 | Train_acc: 15.215% 
001  00060 |Loss: 2.268 | Train_acc: 15.182% 
001  00061 |Loss: 2.266 | Train_acc: 15.279% 
001  00062 |Loss: 2.265 | Train_acc: 15.386% 
